,,,,player_name,,place,round,,,course_par,score,putting_sg,chipping_sg,approach_sg,driving_sg,tee-green_sg,overall_sg,driving_dist,driving_acc,gir,scrambling,rough_prox,fairway_prox
,,,,"Matsuyama, Hideki",,1,1,,,72,69,2.315,1.793,0.985,0.43,3.207,5.523,283.8,0.714,0.722,1,15.287,37.167
,,,,"Matsuyama, Hideki",,1,2,,,72,71,-1.732,1.479,0.291,1.292,3.062,1.33,301.9,0.786,0.778,0.429,38.792,38.045
,,,,"Matsuyama, Hideki",,1,3,,,72,65,1.796,1.318,5.635,-1.322,5.63,7.426,298.5,0.357,0.667,0.714,50.73,23.192
,,,,"Matsuyama, Hideki",,1,4,,,72,73,-1.473,1.014,-0.911,1,1.103,-0.37,304.3,0.714,0.667,0.636,62.456,36.56
,,,,"Zalatoris, Will",,2,1,,,72,70,1.538,-0.108,1.994,1.099,2.985,4.523,302,0.643,0.833,0.571,35.775,48.384
,,,,"Zalatoris, Will",,2,2,,,72,68,3.375,0.022,-0.676,1.608,0.954,4.33,301.1,0.857,0.611,0.6,27.118,33.77
,,,,"Zalatoris, Will",,2,3,,,72,71,0.294,-0.437,1.097,0.472,1.132,1.426,307.2,0.714,0.778,0.4,38.836,35.045
,,,,"Zalatoris, Will",,2,4,,,72,70,-0.343,0.793,1.456,0.724,2.972,2.63,310.2,0.571,0.778,0.625,65.646,39.303
,,,,"Spieth, Jordan",,T3,1,,,72,71,-1.174,2.859,1.184,0.653,4.697,3.523,303.2,0.786,0.944,0.6,80.089,33.765
,,,,"Spieth, Jordan",,T3,2,,,72,68,0.372,2.454,0.75,0.753,3.958,4.33,299.8,0.786,0.833,0.75,61.193,31.422
,,,,"Spieth, Jordan",,T3,3,,,72,72,-2.487,1.088,0.253,1.572,2.913,0.426,307.1,0.786,0.778,0.375,51.135,38.744
,,,,"Spieth, Jordan",,T3,4,,,72,70,-0.214,0.396,2.289,0.159,2.844,2.63,302.9,0.643,0.667,0.375,52.722,36.453
,,,,"Schauffele, Xander",,T3,1,,,72,72,-0.156,0.599,1.619,0.461,2.679,2.523,303.2,0.714,0.833,0.333,49.942,32.997
,,,,"Schauffele, Xander",,T3,2,,,72,69,-0.919,1.29,1.686,1.272,4.248,3.33,314,0.857,0.833,0.75,,29.377
,,,,"Schauffele, Xander",,T3,3,,,72,68,0.819,2.523,1.186,-0.102,3.607,4.426,309.8,0.571,0.611,0.875,62.903,29.954
,,,,"Schauffele, Xander",,T3,4,,,72,72,-0.813,1.636,-1.888,1.695,1.442,0.63,324.7,0.786,0.611,0.583,65.039,34.944
,,,,"Leishman, Marc",,T5,1,,,72,72,0.496,2.468,0.516,-0.958,2.027,2.523,287.4,0.429,0.611,0.375,73.278,36.073
