Period,Score
1st,4
1st,4
1st,4
1st,3.7
1st,2
1st,4
1st,4
1st,1
1st,3.5
1st,3.7
1st,4
1st,4
1st,2.5
1st,1
1st,3.5
1st,3
1st,3.7
1st,3.5
1st,3.5
1st,3.5
1st,4
1st,4
1st,3
1st,4
1st,3.7
1st,1.5
1st,1
1st,3
1st,3
1st,4
1st,2.5
1st,1.5
2nd,3.7
2nd,3.5
2nd,2
2nd,4
2nd,4
2nd,4
2nd,2.5
2nd,2.5
2nd,3
2nd,1
2nd,4
2nd,4
2nd,2
2nd,2
2nd,3
2nd,3
2nd,1
2nd,2
2nd,3
2nd,4
2nd,4
2nd,4
2nd,1
2nd,4
2nd,2.5
2nd,4
2nd,3
2nd,3
2nd,4
2nd,2
2nd,2
2nd,3.5
2nd,4
2nd,2
2nd,3.5
3rd,2.5
3rd,4
3rd,4
3rd,4
3rd,2
3rd,2
3rd,4
3rd,4
3rd,2
3rd,4
3rd,3.5
3rd,1
3rd,2.5
3rd,4
3rd,2
3rd,4
3rd,1
3rd,4
3rd,4
3rd,3.5
3rd,2
3rd,3
3rd,4
3rd,3.5
3rd,3.5
3rd,3.7
3rd,2
3rd,3.7
3rd,4
3rd,4
3rd,3.5
3rd,4
3rd,3.7
