Timestamp,gender,grade,ice_cream,exercise,landmark,farm_animal,cuisine,free_time,sport,social_media,grocery_store,languages,birth_season,fav_game,gaming_system,holiday,pets,dining_out_weekly,time_hobbies,daily_snacks,time_social_media,minutes_homework,weighted_gpa,time_morning_routine,num_states,time_sleep
5/14/2026 11:53:57,Female,Sophomore,Strawberry,yoga/stretching,A) Eiffel Tower,All of the above,Asian,"Creative hobbies (drawing, music, etc.)",Volleyball,TikTok,Sams Club / Walmart,None,Winter,Roblox,PC,Christmas,0,0,1,4,30,15,4,45,4,8
5/14/2026 11:54:03,Male,Sophomore,Cookies and Cream,sports,H) Christ the Redeemer,Goat,Asian,Sleeping / resting,Volleyball,Instagram,Other,Other,Summer,Roblox,PC,Christmas,3,1,2,4,90,45,4.1,15,8,8
5/14/2026 12:14:11,Male,Senior,Mint Chip,swim,F) Machu Picchu,Chicken,Mexican,Working out / sports practice,Basketball,Instagram,Sams Club / Walmart,Other,Summer,Minecraft,Other,Christmas,0,2,2,0,600,30,4.8,10,15,5
5/14/2026 12:14:26,Female,Senior,Cookies and Cream,other,A) Eiffel Tower,Other,Asian,"Creative hobbies (drawing, music, etc.)",Tennis,Instagram,Costco,Other,Winter,Other,Mobile,Christmas,3,3,4,5,360,120,4.4,30,10,7
5/14/2026 12:14:36,Female,Junior,Chocolate,yoga/stretching,J) Other,All of the above,Mexican,Sleeping / resting,Tennis,TikTok,Stater Bros.,Spanish,Autumn,Roblox,Playstation,Other,5,0,3,3,180,180,3.2,45,3,4
5/14/2026 12:14:38,Male,Senior,Cookies and Cream,sports,H) Christ the Redeemer,Horse,Mexican,Hanging out with friends,Soccer,Instagram,WinCo,Spanish,Spring,Roblox,Xbox,Easter,1,2,2,3,6,4,4,20,4,6
5/14/2026 12:14:38,Male,Senior,Cookies and Cream,sports,H) Christ the Redeemer,Horse,Asian,Playing video games,Soccer,Instagram,Costco,None,Summer,Other,PC,Thanksgiving,2,1,8,0,300,0,3.2,10,1,6
5/14/2026 12:14:52,Female,Freshman,Cookies and Cream,other,A) Eiffel Tower,Horse,Mexican,Playing video games,Soccer,TikTok,Sams Club / Walmart,None,Summer,Roblox,Switch,Christmas,2,4,2,3,180,120,3.6,60,6,8
5/14/2026 12:14:55,Female,Freshman,Cookies and Cream,sports,E) Grand Canyon,Horse,Asian,Working out / sports practice,Basketball,TikTok,Costco,None,Summer,Roblox,Switch,Christmas,0,1,3,4,253,240,4,115,2,6
5/14/2026 12:14:57,Male,Freshman,Mint Chip,sports,H) Christ the Redeemer,Chicken,Mexican,Working out / sports practice,Soccer,Instagram,Costco,Spanish,Autumn,Fortnite,Xbox,Christmas,3,3,6,2,45,65,3.2,30,14,8
5/14/2026 12:14:58,Female,Senior,Cookies and Cream,yoga/stretching,A) Eiffel Tower,Horse,Asian,Sleeping / resting,Basketball,Instagram,Sams Club / Walmart,Other,Spring,Other,Playstation,Halloween,1,1,1,3,400,10,3.6,10,1,4
